id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path_x,poster_path_y,profit,ROI,year,imdb_url,poster_url
329863,"Forever, Interrupted",0.0,0.0,Planned,,0.0,0.0,0.0,tt3864004,en,"Forever, Interrupted","A big screen adaptation of Taylor Jenkins Reid's debut novel Forever, Interrupted. It's the story of a young woman who elopes after a whirlwind romance and then must face the sudden death of her adoring husband. She must come to terms with his loss while forming an unlikely relationship with his mother – who didn't know she existed.",3.149,,Drama,A24,United States of America,English,"Laura Dern, Margaret Qualley",,,"Taylor Jenkins Reid, Julia Bicknell","Taylor Jenkins Reid, Laura Dern, Margaret Qualley",,,,/nuO20YbWRNhWwxNYTA8YHfDK4uF.jpg,https://image.tmdb.org/t/p/original//nuO20YbWRNhWwxNYTA8YHfDK4uF.jpg,0.0,0.0,,https://www.imdb.com/title/tt3864004/,
376867,Moonlight,7.373,7173.0,Released,2016-10-21,65046687.0,111.0,4000000.0,tt4975722,en,Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",8.4283,This is the story of a lifetime,Drama,"A24, Plan B Entertainment, PASTEL",United States of America,English,"Keomi Givens, André Holland, Stephon Bron, Tanisha Cidel, Jesus Mitchell, Janelle Monáe, Ashton Sanders, Justin Ebenhack, Shariff Earp, Patrick Decile, Edson Jean, Rudi Goblen, Don Seward, Herman 'Caheei McGloun, Eddie Blanchard, Jharrel Jerome, Duan Sanderson, Jaden Piner, Fransley Hyppolite, Kamal Ani-Bellow, Herveline Moncion, Mahershala Ali, Larry Anderson, Alex R. Hibbert, Naomie Harris, Trevante Rhodes",Barry Jenkins,James Laxton,"Tarell Alvin McCraney, Barry Jenkins","Tarell Alvin McCraney, Dede Gardner, Adele Romanski, Jeremy Kleiner, Sarah Esberg, Brad Pitt",Nicholas Britell,7.4,342109.0,/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg,https://image.tmdb.org/t/p/original//4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg,61046687.0,1526.167175,2016,https://www.imdb.com/title/tt4975722/,https://image.tmdb.org/t/p/w500/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg
418078,It Comes at Night,5.9,2462.0,Released,2017-06-09,19280931.0,91.0,5000000.0,tt4695012,en,It Comes at Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.",5.5323,,"Drama, Horror, Mystery","A24, Animal Kingdom",United States of America,English,"Riley Keough, David Pendleton, Carmen Ejogo, Christopher Abbott, Mick O'Rourke, Chase Joliet, Kelvin Harrison, Jr., Griffin Robert Faulkner, Joel Edgerton, Mikey",Trey Edward Shults,Drew Daniels,Trey Edward Shults,"Andrea Roa, David Kaplan, Joel Edgerton",Brian McOmber,6.1,107846.0,/rNKJpFMlOZn5zkzBPZxEJrQn5Km.jpg,https://image.tmdb.org/t/p/original//rNKJpFMlOZn5zkzBPZxEJrQn5Km.jpg,14280931.0,285.61861999999996,2017,https://www.imdb.com/title/tt4695012/,https://image.tmdb.org/t/p/w500/rNKJpFMlOZn5zkzBPZxEJrQn5Km.jpg
426253,The Lovers,5.4,89.0,Released,2017-05-05,0.0,94.0,0.0,tt5770620,en,The Lovers,The separation of a long married couple goes awry when they fall for each other again.,6.782,A love so strong it can survive marriage.,"Comedy, Drama, Romance",A24,United States of America,English,"Tyler Ross, Janine Mitchell, Wayne Alon Scott, Lesley Fera, Vanessa Campbell, Melora Walters, Aidan Gillen, Tracy Letts, Debra Winger, Eric Satterberg, Jessica Sula",Azazel Jacobs,Tobias Datum,Azazel Jacobs,"Ben LeClair, Chris Stinson",Mandy Hoffman,6.1,4392.0,/tRWza39fHyef12FvScIBduaHMi6.jpg,https://image.tmdb.org/t/p/original//tRWza39fHyef12FvScIBduaHMi6.jpg,0.0,0.0,2017,https://www.imdb.com/title/tt5770620/,https://image.tmdb.org/t/p/w500/tRWza39fHyef12FvScIBduaHMi6.jpg
429126,Reggie Watts: Spatial,6.0,24.0,Released,2016-12-06,0.0,61.0,0.0,tt5861260,en,Reggie Watts: Spatial,"The comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures.",1.775,Turn it up. We're going down.,Comedy,"A24, Sunset Rose Pictures",United States of America,English,"Dani Scaringe, Reggie Watts, Rory Scovel, Chloe Arnold, Kate Berlant",Benjamin Dickinson,,,,,6.0,563.0,/qijBsmr2rsP4Jad8IyDu1wtZ1ua.jpg,https://image.tmdb.org/t/p/original//qijBsmr2rsP4Jad8IyDu1wtZ1ua.jpg,0.0,0.0,2016,https://www.imdb.com/title/tt5861260/,https://image.tmdb.org/t/p/w500/qijBsmr2rsP4Jad8IyDu1wtZ1ua.jpg
434501,Toru,4.7,3.0,Released,2017-01-19,0.0,14.0,0.0,tt6431716,en,Toru,"Toru centers on the story of a baby boy, named Toru, born with a fatal lung condition. As he only has a few days to live Toru’s parents sign him up for a trial experiment that would simulate a full life in a matter of days.  The film follows Toru’s dream-like life simulation as a boy named Todd growing up in a New England suburb, and concludes in futuristic Japan.",0.403,In our near future,Science Fiction,A24,United States of America,日本語,"Ai Kiyono, Tamara Hickey, Tatsuo Ichikawa, John T. Mullen, Yasu Suzuki, Tsukasa Kondo","Jonathan Minard, Scott Rashap",Matt Mitchell,,Andrew Wonder,Brian McOmber,7.8,8.0,/A3O17Hd3cZmBIj2xh34RNsAk0JH.jpg,https://image.tmdb.org/t/p/original//A3O17Hd3cZmBIj2xh34RNsAk0JH.jpg,0.0,0.0,2017,https://www.imdb.com/title/tt6431716/,https://image.tmdb.org/t/p/w500/A3O17Hd3cZmBIj2xh34RNsAk0JH.jpg
437586,mid90s,7.49,1643.0,Released,2018-10-19,9303022.0,86.0,1700000.0,tt5613484,en,mid90s,"In 1990s Los Angeles, a 13-year-old spends his summer navigating between a troubled home life and a crew of new friends he meets at a skate shop.",6.3681,fall. get back up.,"Drama, Comedy","A24, Waypoint Entertainment",United States of America,English,"Ryder McLaughlin, Lucas Hedges, Jax Malcolm, Harmony Korine, Kasey Elise, Donovon Piscopo, Kevin White, Sunny Suljic, Chad Muska, Aaron Meza, Donny Barley, Craig Reed, Sonny Greenback, Rick Howard, Na-kel Smith, Liana Perlich, Fig Camila Abner, Katherine Waterston, Alexa Demie, Aramis Hudson, Del the Funky Homosapien, Zachary Read, Judah Estrella Borunda, Jahmin Assa, Gio Galicia, Mecca Allen, Olan Prenatt, Ama Elsesser, Jerrod Carmichael, Chico Brenes",Jonah Hill,Christopher Blauvelt,Jonah Hill,"Mikey Alfred, Scott Rudin, Eli Bush, Jonah Hill, Lila Yacoub, Alex G. Scott, Jennifer Semler, Ken Kao, Scott Robertson","Trent Reznor, Atticus Ross",7.4,83526.0,/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,https://image.tmdb.org/t/p/original//9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,7603022.0,447.2365882352941,2018,https://www.imdb.com/title/tt5613484/,https://image.tmdb.org/t/p/w500/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg
443411,Jerrod Carmichael: 8,7.3,20.0,Released,2017-03-11,0.0,59.0,0.0,tt6669086,en,Jerrod Carmichael: 8,"Performing in the round and engaging audience members during his act, Carmichael addresses a wide range of subjects, including Trump’s victory, climate change, supporting the troops, animal rights, being a good boyfriend and his top four fears, as well as exploring larger themes like race, politics, love and family.",0.2522,,Comedy,"A24, HBO",United States of America,English,Jerrod Carmichael,Bo Burnham,Andrew Wehde,Jerrod Carmichael,"Ravi Nandan, Christopher Storer, Bo Burnham, Jerrod Carmichael, Jeff Thorsen, John Hodges",,7.4,1208.0,/8FQ9vcZyLe29Ja2LRYQhf5gHD3w.jpg,https://image.tmdb.org/t/p/original//8FQ9vcZyLe29Ja2LRYQhf5gHD3w.jpg,0.0,0.0,2017,https://www.imdb.com/title/tt6669086/,https://image.tmdb.org/t/p/w500/8FQ9vcZyLe29Ja2LRYQhf5gHD3w.jpg
467244,The Zone of Interest,7.021,2160.0,Released,2023-12-15,52631884.0,105.0,15000000.0,tt7160372,en,The Zone of Interest,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",8.8381,,"Drama, History, War","A24, Film4 Productions, Access Entertainment, JW Films, Extreme Emotions","Poland, United Kingdom, United States of America","Deutsch, Polski, ","Małgorzata Żurek, Klaudiusz Kaufmann, Tomasz Piwko, Andrey Isaev, Anastazja Drobniak, Luis Noah Witte, Cecylia Pekala, Marnius Fislage, Ralph Herforth, Freya Kreutzkam, Ralf Zillmann, Marie Rosa Tietjen, Agnieszka Wierny, Jakub Sierenberg, Barbara Jakubowska, Christopher Manavi, Thomas Neumann, Nele Ahrensmeier, Zuzanna Kobiela, Oscar Lebeck, Sandra Hüller, Daniel Holzberg, Johann Karthaus, Rainer Haustein, Imogen Kogge, Justyna Szklarska, Bernhard Schirmer, Anna Marciniszyn, Daniel Hoffman, Kacper Piwko, Marek Łukasik, Antje Falk, Sascha Maaz, Heinz Nielow, Paulina Burzyk, Wolfgang Lampl, Christine Schröder, Maximilian Beck, Zuzanna Janusik, Julia Polaczek, Elżbieta Bronka, Ewelina Kaczor, Julia Babiarz, Patryk Mika, Halina Drzymota, Izabela Bara, Joerg Sierenberg, Leo Meier, Martyna Poznanski, Barbara Koszałka, Kalman Wilson, Mariola Karczewska, Carsten Koch, Wiktoria Wisniewska, Christian Friedel, Shenja Lacher, Joerg Giessler, Medusa Knopf, Stephanie Petrowitz, Heiko Lange, Benjamin Utzerath, Lilli Falk, Dominika Matonóg, Christian Willy, Anna Kuwik",Jonathan Glazer,Łukasz Żal,"Lukas Feigelfeld, Martin Amis, Jonathan Glazer, Franz Rodenkirchen","James Wilson, David Kimbangi, Tessa Ross, Ewa Puszczyńska, Ollie Madden, Daniel Battsek, Len Blavatnik, Danny Cohen, Reno Antoniades",Mica Levi,7.3,134695.0,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,https://image.tmdb.org/t/p/original//hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,37631884.0,250.87922666666665,2023,https://www.imdb.com/title/tt7160372/,https://image.tmdb.org/t/p/w500/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg
473033,Uncut Gems,7.16,4929.0,Released,2019-08-30,50023780.0,136.0,19000000.0,tt5727208,en,Uncut Gems,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",6.5196,This is how I win.,"Drama, Thriller, Crime","A24, Elara Pictures, IAC Films, Sikelia Productions, Scott Rudin Productions",United States of America,English,"Shiv Pai, Roza Babekova, Jeremy Sample, Marty Tendler, William Sappe, Judd Hirsch, Ralph Colucci, Ca$h Out, Benjy Kleiner, John Amos, Trinidad James, Larry Sloman, Eric Bogosian, Jacob Dylan Igielski, Brad Davidorf, Jonathan Aranbayev, Natasha Lyonne, Idina Menzel, Glenn 'Doc' Rivers, Conor Coyne, The Weeknd, Sean Ringgold, Noa Fisher, Sunny Wu Jin Zahao, Stuart Wenig, Maksud Agadjani, Warren Finkelstein, Keith William Richards, Kerwin Frost, Roman Persits, Keren Shemel, La Mar Taylor, Anthony Mecca, Izra Malakov, Louis Anthony Arias, Ricky Barksdale, Tilda Swinton, Gerard 'Dash' McQuiller, Josh Ostrovsky, Jennifer Sacks, Arthur Borukhov, Svetlana B. Levitin, Chad Neves, Aren Topian, LaKeith Stanfield, Pom Klementieff, Greg Yuna, Raleem Moses, Sahar Bibiyan, Ry Armstrong, Marcia DeBonis, Deneke Muhugeta, Paloma Elsesser, Jessica Mullayev, Hailey Gates, Max Bartos, Mike Francesa, Todd Vulpio, Habtunu Africho, Liang Wei-Hui-Duncan, Alexander Gilkes, Darien Howard, Kevin Garnett, Jennifer Venditti, Damany Eastman, Wayne Diamond, Tommy Kominik, Julia Fox, Jake Ryan, Mitchell Wenig, Andrea Linsky, Sun Zhi Hua-Hilton, Ara Daglian, Ronald Greenberg, Marshall Greenberg, Shemsi Selimaj, Lino Eisenberg, Adam Sandler, Mesfin Lamengo, Erika Wachter, Debbie DeLisi, Michael A. Sollecito, Victor Plajas","Benny Safdie, Josh Safdie",Darius Khondji,"Josh Safdie, Benny Safdie, Ronald Bronstein","Sebastian Bear-McClard, Eli Bush, David Koplan, Martin Scorsese, Anthony Katagas, Oscar Boyson, Scott Rudin, Irfaan Fredericks, Emma Tillinger Koskoff",Daniel Lopatin,7.4,335469.0,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,https://image.tmdb.org/t/p/original//6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,31023780.0,163.28305263157893,2019,https://www.imdb.com/title/tt5727208/,https://image.tmdb.org/t/p/w500/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg
